Sport-Indices,Distance,Similarity,Sport_X,Sport_Y
"('Wrestling', 'Skiing: Freestyle')",1.1124469909286474,0.4733846597307479,Wrestling,Skiing: Freestyle
"('Wrestling', 'Team Handball')",1.3696366462543887,0.4220056275634786,Wrestling,Team Handball
"('Wrestling', 'Cycling: Sprints')",1.2831937038302421,0.4379829877431859,Wrestling,Cycling: Sprints
"('Wrestling', 'Bobsledding/Luge')",1.4488319250361743,0.4083579562060912,Wrestling,Bobsledding/Luge
"('Wrestling', 'Ski Jumping')",1.5118288613834256,0.3981162950127246,Wrestling,Ski Jumping
"('Wrestling', 'Badminton')",1.586381374257849,0.3866405820707496,Wrestling,Badminton
"('Wrestling', 'Skiing: Nordic')",1.3172160481207644,0.4315523366114215,Wrestling,Skiing: Nordic
"('Wrestling', 'Auto Racing')",2.0706242082683004,0.32566668278954164,Wrestling,Auto Racing
"('Wrestling', 'Track and Field: High Jump')",1.3790063677355417,0.42034355752979774,Wrestling,Track and Field: High Jump
"('Wrestling', 'Track and Field: Long, Triple jumps')",1.3861006581225315,0.4190938033548155,Wrestling,"Track and Field: Long, Triple jumps"
"('Wrestling', 'Diving')",1.6058227140396681,0.38375596106833887,Wrestling,Diving
"('Wrestling', 'Swimming (all strokes): Distance')",1.4914079249730432,0.4013794730185824,Wrestling,Swimming (all strokes): Distance
"('Wrestling', 'Skateboarding')",1.4812394153016524,0.4030243892762065,Wrestling,Skateboarding
"('Wrestling', 'Track and Field: Sprints')",1.7518541532683816,0.3633913515410322,Wrestling,Track and Field: Sprints
"('Wrestling', 'Rowing')",1.4324281247774158,0.4111118391592792,Wrestling,Rowing
"('Wrestling', 'Rodeo: Calf Roping')",1.4354928044884707,0.41059452040139827,Wrestling,Rodeo: Calf Roping
"('Wrestling', 'Track and Field: Distance')",1.52099156206006,0.39666931656956333,Wrestling,Track and Field: Distance
"('Wrestling', 'Rodeo: Bull/Bareback/Bronc Riding')",1.7203359907859117,0.36760165045314774,Wrestling,Rodeo: Bull/Bareback/Bronc Riding
